"","accuracy","p","precision","recall","estMisclassSize","estNval","estCorrClassSize","waic","iterIndex","simMethod","estMethod","trueNval","trueMisclassIncrease","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"1",0.892686666666667,0.492409770221341,0.251266666666667,0.963955555555556,1,10,9,1142.16,1,"full","main",0,4,-0.505601651783595,0.846520355189239,-0.244945055336634,-6.0112100515188,-0.997126824512176,-0.498810622124258,-4.98967356791646,-2.99095661522004,1.00580806810192,0.989336778895522,-1.00739754918622
"2",0.855813333333333,0.498449018334442,0.0582666666666667,0.94442962962963,1,10,9,1278.18,2,"full","main",0,4,0.125384336754885,-0.0824865607591545,0.0474969002248058,-6.02591819567471,-1.00979187052957,-0.497069494094758,-5.0048293026599,-2.98351624592786,0.999016987257462,0.997128099204298,-0.996352865172569
"3",0.890726666666667,0.499646419013183,0.1048,0.978051851851852,1,10,9,1214.19,3,"full","main",0,4,0.10735479060231,-0.54737535001644,0.422102760955156,-6.00851151003347,-1.00152455563953,-0.497533762266516,-5.00013424230506,-2.99063980840877,1.01082928983704,0.998057233240267,-1.01856736972708
"4",0.960966666666667,0.500641787165465,0.988133333333333,0.957948148148148,1,10,9,1204.74,4,"full","main",0,4,-0.071729650791688,0.46537984337851,-0.231366788050628,-5.99962184649861,-0.999889039046941,-0.491610520624553,-5.00144341787631,-3.01110155979394,1.00216832208188,0.994549851944408,-1.01100787842361
"5",0.973626666666667,0.4973251272914,NA,0.973626666666667,0,10,10,1266.29,5,"full","main",0,4,-0.082315660264942,-0.367458798274694,0.140199175224729,-5.99470925207047,-0.994536883116426,-0.480850925286046,-4.9986609468461,-2.99740772258712,0.996740218478262,1.00377724981525,-1.00730783296352
"6",0.976713333333333,0.4966703663749,NA,0.976713333333333,0,10,10,1244.31,6,"full","main",0,4,0.190837197774814,-0.0527486651788829,-0.00417640169026212,-6.01081785373096,-1.00398510919833,-0.490458079130437,-4.99823466902792,-2.99542620297674,0.991825040012347,0.996978629343931,-1.01139333311955
"7",0.87836,0.494011795906816,0.463566666666667,0.982058333333333,2,10,8,1204.81,7,"full","main",0,4,-0.0671484941486242,0.175500706741815,-0.115598264760659,-6.00239618814668,-1.0056124365994,-0.49761152061218,-4.996898107538,-3.00846315851266,0.994239385467659,1.00199763636718,-1.00237078819874
"8",0.87842,0.498686200769416,0.232133333333333,0.95022962962963,1,10,9,1189.74,8,"full","main",0,4,-0.0197605926107352,-0.266054669044858,0.149861699359854,-5.99300132698134,-0.994059152429573,-0.498052925984495,-4.9918236164178,-3.01266215184756,0.989687591230956,1.00395859439069,-1.02030902213832
"9",0.806546666666667,0.499804901798349,0.0381,0.998658333333333,2,10,8,1201.03,9,"full","main",0,4,0.0943687051130426,-0.0931249733736363,0.170723883434106,-6.01497701102362,-1.00142252169454,-0.495774377608509,-4.99953057976071,-3.00696663648744,0.991886319373098,1.00419220278284,-0.997706773148039
"10",0.86704,0.503585563961572,0.3636,0.9929,2,10,8,1260.59,10,"full","main",0,4,0.176988070744539,-0.25260333049849,0.155945827687273,-5.99711289965151,-0.992355346730948,-0.516628281864692,-4.9801798068718,-3.00706553880277,1.00632372496248,0.988162661794029,-1.01481793173452
