"","accuracy","p","precision","recall","estMisclassSize","estNval","estCorrClassSize","waic","iterIndex","simMethod","estMethod","trueNval","trueMisclassIncrease","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"1",0.829824333333333,0.498018665394187,0.799579310344828,0.853110324483776,87,200,113,2252.36,1,"full","main",0,0,-0.513451105083919,1.13138843947997,-0.409093097103195,-2.00923450351277,-1.00235474156796,-0.483647507629045,-0.99803192433766,-3.01335601028889,1.0056724040284,1.00835376804102,-0.985729801208533
"2",0.834884,0.503830035204627,0.812262542955326,0.856187702265372,97,200,103,2344.96,2,"full","main",0,0,0.11795584209992,-0.0622204365922552,0.0921008912022538,-2.00031609014152,-1.00552356001469,-0.506136959711068,-0.993351016325911,-2.99397537424097,0.999864804898509,1.00413783686343,-1.00075595933313
"3",0.804199,0.496977109087895,0.788863157894737,0.818074285714286,95,200,105,2370.3,3,"full","main",0,0,0.0578151700901062,-0.478059320624632,0.466439332694486,-1.99387282328342,-1.00566111953465,-0.507756569084791,-1.00267823682104,-3.01095085592482,0.999647557755078,1.00515684939446,-1.00955117734111
"4",0.869275666666667,0.502467324281422,0.857847916666667,0.879824358974359,96,200,104,2304.1,4,"full","main",0,0,-0.0648506955378891,0.335991452001122,-0.169479588410193,-2.01263069204965,-1.00373087823757,-0.498911808819158,-0.989265811984891,-3.01186841597891,1.01337376859758,1.00773274146946,-0.99264721476073
"5",0.828892666666667,0.497916797842225,0.782653472222222,0.871575,96,200,104,2382.13,5,"full","main",0,0,0.0185020548511224,-0.541233405623868,0.228460133683877,-2.00884635283171,-1.00978421778955,-0.494942265718453,-0.999382293697924,-3.00209947648622,1.00192484015398,0.997109651029381,-1.0042967971227
"6",0.853000666666667,0.50304739978003,0.832600641025641,0.875100694444444,104,200,96,2352.38,6,"full","main",0,0,0.161735482377572,0.0555692932112768,0.00474355079001243,-1.99324310757307,-1.00914316249706,-0.488506044731037,-0.995285024940736,-2.99833934310631,0.991153137170701,1.01437585237262,-1.00194788222591
"7",0.830533666666667,0.496338138078308,0.825275,0.83538782051282,96,200,104,2292.26,7,"full","main",0,0,-0.136181319618777,0.0918693898726062,-0.153828627993627,-1.99528055137055,-0.989921780356679,-0.498834393482702,-1.00059370834203,-2.99114852652377,1.00568402315342,1.00098295695029,-1.00242320037064
"8",0.816317333333333,0.49978239919936,0.798142553191489,0.832434591194969,94,200,106,2311.23,8,"full","main",0,0,-0.0387226559040268,-0.223710036798707,0.147249448049372,-1.99806297112207,-1.00606615578001,-0.510376697875316,-0.999472885898183,-3.00664376238614,0.993449571717502,0.996414204485036,-1.00498157488394
"9",0.829727333333333,0.499487575421001,0.775259420289855,0.876125925925926,92,200,108,2304.55,9,"full","main",0,0,0.149558252163502,-0.126955778972588,0.241015210091246,-1.99414940657031,-0.987808829777092,-0.509686588496341,-1.00547828897611,-2.98379526358457,0.995440796523592,0.999941055832448,-1.00477131417391
"10",0.810979,0.500699632031067,0.780479259259259,0.835933333333333,90,200,110,2336.72,10,"full","main",0,0,0.223311132611023,-0.334372288406197,0.161894809842221,-2.00016921247378,-1.00610731226649,-0.513062681433215,-1.00484108294893,-2.99518359487678,0.992564165331976,1.0082892515926,-1.00477750903945
