"","accuracy","p","precision","recall","estMisclassSize","estNval","estCorrClassSize","waic","iterIndex","simMethod","estMethod","trueNval","trueMisclassIncrease","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"1",0.864516,0.499206897266551,0.748024489795918,0.902317880794702,49,200,151,1716.33,1,"full","main",0,2,-0.510976267791476,1.08672009889916,-0.364352729422412,-4.00063425047716,-1.01731213047368,-0.488345012830729,-3.00432656250204,-2.99363045742849,1.00331743404425,1.00826718766512,-1.00698537765056
"2",0.872398666666667,0.499022732893672,0.721485185185185,0.92821598173516,54,200,146,1859.96,2,"full","main",0,2,0.106333807257828,-0.0602857426319119,0.0853808837125869,-4.00449347927101,-1.00396081072455,-0.504981377573816,-3.01045728058163,-2.99491217566065,0.994996781537355,0.997257837716408,-1.00376175012364
"3",0.847155666666667,0.497488500989197,0.748856790123457,0.883512785388128,54,200,146,1876.26,3,"full","main",0,2,0.0597438177204612,-0.48955703527086,0.47197957379831,-3.99314570245423,-1.00484424252891,-0.489242430504513,-2.99148825604817,-2.99256738699664,1.00280276563329,1.0023895277878,-0.986764331173137
"4",0.905451333333333,0.499817144225445,0.811076,0.936909777777778,50,200,150,1733.61,4,"full","main",0,2,-0.109554790362206,0.423936649381946,-0.171141254010673,-3.9921957013237,-1.01029803923058,-0.51079747847159,-2.99857838931101,-3.00654267285331,0.998863398857207,0.99575764266755,-1.00086327493026
"5",0.867214,0.498147942126853,0.689174468085106,0.921905882352941,47,200,153,1890.49,5,"full","main",0,2,0.0437379458331453,-0.534779753925132,0.21790633261743,-4.0010275956108,-0.998726781587017,-0.501512712547069,-3.00787845970798,-3.00254131240557,1.0054464382075,1.01397835985699,-1.00969987293187
"6",0.885244,0.498912126517187,0.774201212121212,0.92736367816092,55,200,145,1856.96,6,"full","main",0,2,0.135119076657757,0.0893152582323467,0.00638504922168948,-3.99879682052832,-1.00153787172195,-0.491938637070066,-3.0199519382839,-3.01673072407154,1.00938224038753,1.00138547246607,-1.00033318507464
"7",0.879869666666667,0.500070316438532,0.735669565217391,0.922942424242424,46,200,154,1722.18,7,"full","main",0,2,-0.120570170199853,0.14299287952604,-0.143723907254835,-4.00983910417734,-1.01162117719144,-0.4991275374166,-3.00008573790289,-2.98949718030623,0.988031042514861,1.00990635391086,-0.997882737275482
"8",0.867006666666667,0.498252142091204,0.683517117117117,0.908657668711656,37,200,163,1809.68,8,"full","main",0,2,-0.0513980781555594,-0.182777272325151,0.148260481606625,-4.01838291595244,-0.99650427628191,-0.497754155052061,-2.99498579398742,-3.01190177520245,1.00677607509502,0.98933974709059,-1.01909038365782
"9",0.873411333333333,0.498431664682909,0.727815602836879,0.918136819172113,47,200,153,1783.75,9,"full","main",0,2,0.149964135457216,-0.103507003424482,0.220473946994,-4.00123967246453,-1.00386495052067,-0.496024791288403,-2.99599042039125,-2.99496857763886,0.993260017678948,1.00776549576495,-1.01011806491558
"10",0.851638333333333,0.501078207565673,0.637084057971015,0.915725974025974,46,200,154,1812.27,10,"full","main",0,2,0.251989404229415,-0.347530807635185,0.135315720091761,-4.00683850923878,-1.00961490197874,-0.518267022189711,-3.00155663539192,-2.99243567886849,0.995194846604812,0.997410702923648,-0.998236886331389
"11",0.858562666666667,0.494626308880296,0.728977777777778,0.910215384615385,57,200,143,1843.37,11,"full","main",0,2,0.0544442853992158,-0.0416586623948088,0.158840042066533,-4.01004189731845,-0.994157793302741,-0.494773710815843,-3.00294912355392,-3.00078571356278,1.00056379570084,0.986407669135299,-0.991631516284882
"12",0.866199333333333,0.499643308151343,0.742781538461538,0.925622716049383,65,200,135,1776.39,12,"full","main",0,2,0.00461754227757127,0.0520799042619107,-0.126857172534371,-4.01018637224445,-1.00723749150913,-0.499952357451212,-3.01803249891757,-3.00283170330208,0.99270024645564,1.00140491369136,-0.990113758230921
"13",0.855214333333333,0.500733983433262,0.722524,0.899444444444444,50,200,150,1776.13,13,"full","main",0,2,0.116789561935994,0.235640398568286,-0.201070821448968,-4.00377413260492,-0.999647551591365,-0.501248561380741,-2.99984956167545,-3.00050835970498,0.984615934617671,1.01200323427978,-1.01799938785758
"14",0.869702,0.498326618287805,0.723082716049383,0.92393105022831,54,200,146,1822.25,14,"full","main",0,2,0.0632272677610124,0.105581055432308,-0.144038688653296,-3.99850853620525,-0.995630112998974,-0.50076437920455,-3.00284066063279,-2.98746775954649,1.00255171257775,1.00610306932566,-0.987941027107552
"15",0.868791333333333,0.499935560086742,0.69489756097561,0.913631865828092,41,200,159,1773.52,15,"full","main",0,2,-0.0185594706453756,-0.0565257038551463,0.0364173122805043,-3.99562500723212,-0.993675922139429,-0.497062883191586,-2.99756694658935,-2.99524282141342,1.00217270263343,0.997642795366634,-0.992989240235111
"16",0.893788666666667,0.497865905654306,0.754971929824561,0.926350617283951,38,200,162,1721.4,16,"full","main",0,2,0.0893666931201579,0.472039343393402,-0.384192636361613,-3.99445245268269,-1.00772033681573,-0.506991680721174,-3.00085212604883,-3.02120519764887,0.997034881472652,0.99961799976006,-1.00317843383293
"17",0.884455666666667,0.500532590674578,0.750428735632184,0.939199061032864,58,200,142,1845.27,17,"full","main",0,2,0.210823957817316,-0.343456519262623,0.0949514187157707,-4.00697779704374,-0.993312268449177,-0.495230417804831,-2.99862687158233,-2.99207222418636,0.995268495839006,0.979995814994308,-0.994999540556999
"18",0.893784,0.497773577515828,0.769484722222222,0.933036403508772,48,200,152,1759.72,18,"full","main",0,2,-0.150048788407734,0.426675262825808,-0.0913387933728589,-4.01549861089144,-0.993418908600641,-0.49189019274941,-3.01357883527053,-3.00633233090619,0.988824941234374,0.995762451716302,-0.99547682906336
"19",0.856286666666667,0.497576624376979,0.656704761904762,0.921051655629139,49,200,151,1729.14,19,"full","main",0,2,-0.0719817181096092,0.182178828849969,0.132819500646196,-3.99245767008907,-1.01202812715169,-0.495851946164474,-3.01431213251547,-3.01077438543406,1.00698920396706,1.00079668743747,-1.01142094979035
