"","simMethod","estMethod","trueMisclassIncrease","p","waic","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"22","full","main","Decreased","0.4997(0.0024)","751.027(45.8501)","0.0028(0.122)","0.0837(0.3073)","-0.0449(0.1786)","-8.0003(0.0085)","-1.0006(0.0085)","-0.5004(0.0077)","-7.0024(0.0086)","-3(0.0081)","0.9989(0.0087)","1.0005(0.0088)","-1(0.008)"
"23","full","variable","Baseline","0.6666(0.0045)","1746.335(52.9042)","0.0019(0.1335)","0.097(0.3029)","-0.0506(0.1848)","-0.1229(0.2067)","-0.0183(0.1505)","-0.1003(0.2397)","-0.0015(0.1532)","-0.36(0.2698)","0.0069(0.1792)","-0.1365(0.2745)","0.0131(0.1838)"
"24","full","variable","Decreased","0.6671(0.0048)","636.1654(36.6235)","0.0062(0.1214)","0.0897(0.3006)","-0.0411(0.1738)","-3.2998(0.1149)","-1.5137(0.2893)","-1.3927(0.2446)","-2.1148(0.1388)","-2.0628(0.2436)","-0.1072(0.3298)","-0.859(0.2838)","-0.6688(0.1461)"
"25","reduced","constant","Baseline","0.5002(0.0022)","2249.988(45.8649)","-0.0235(0.1308)","0.1172(0.3359)","-0.0436(0.2163)","-1.9997(0.0082)","-1.0017(0.0089)","-0.4991(0.0081)","-0.9998(0.0082)","-2.9987(0.0081)","1.0013(0.0086)","1.0011(0.0082)","-0.9978(0.0079)"
"26","reduced","constant","Decreased","0.5001(0.0022)","479.0261(41.3072)","-0.0192(0.1191)","0.0966(0.3114)","-0.0389(0.1909)","-7.9997(0.008)","-1.0013(0.0084)","-0.5004(0.0082)","-7.001(0.0088)","-2.9997(0.0082)","0.9998(0.0085)","0.9995(0.0082)","-0.9991(0.008)"
"27","reduced","fixed-covariate","Baseline","0.3539(0.0272)","2250.067(45.8375)","-0.0231(0.1305)","0.1162(0.3335)","-0.0429(0.2157)","-0.0505(0.1502)","-0.0152(0.1052)","-0.07(0.1834)","-0.0111(0.1148)","-2.9995(0.0374)","NA(NA)","NA(NA)","-0.999(0.0229)"
"28","reduced","fixed-covariate","Decreased","0.3879(0.0081)","509.443(36.3957)","-0.0223(0.1206)","0.112(0.314)","-0.0468(0.1921)","-3.2048(0.0822)","-1.8062(0.3513)","-1.5674(0.1783)","-2.0711(0.1343)","-2.9964(0.0209)","NA(NA)","NA(NA)","-0.9952(0.0246)"
"29","reduced","fixed-intercov","Baseline","0.3529(0.0233)","2272.0932(45.8025)","-0.0157(0.1327)","0.1125(0.3356)","-0.041(0.2172)","-0.5643(0.0867)","0.3316(0.1001)","-0.5059(0.142)","0.4357(0.0867)","-3.0006(0.0207)","NA(NA)","NA(NA)","-1.0009(0.029)"
"30","reduced","fixed-intercov","Decreased","0.4765(0.0236)","477.4451(41.6329)","-0.0172(0.1198)","0.0926(0.3126)","-0.0373(0.1914)","0.479(2.417)","-0.6055(0.5142)","-0.6053(0.3139)","1.479(2.417)","-2.9966(0.1032)","NA(NA)","NA(NA)","-0.9925(0.1476)"
"31","reduced","intercept","Baseline","0.5001(0.0024)","2249.9318(45.8634)","-0.0231(0.1306)","0.1178(0.3341)","-0.0438(0.2151)","-0.052(0.1502)","-0.0159(0.1042)","-0.0717(0.1839)","-0.0117(0.1138)","-3.0001(0.0076)","0.9996(0.0089)","0.999(0.0081)","-0.9992(0.008)"
"32","reduced","intercept","Decreased","0.4996(0.0024)","509.4958(36.4469)","-0.0223(0.1204)","0.1127(0.3138)","-0.047(0.1919)","-3.2145(0.081)","-1.8103(0.3499)","-1.5711(0.1817)","-2.081(0.1345)","-3.0003(0.0074)","1.0003(0.0077)","0.9992(0.0077)","-0.9996(0.0078)"
"33","reduced","main","Baseline","0.5002(0.0024)","2251.1946(45.7694)","-0.0287(0.1324)","0.1367(0.3387)","-0.0542(0.2174)","-2.0017(0.0072)","-0.999(0.0079)","-0.501(0.0078)","-1.0008(0.0079)","-2.9995(0.0082)","0.9995(0.0081)","1.0023(0.0076)","-1.0007(0.0086)"
"34","reduced","main","Decreased","0.5001(0.0024)","480.1862(41.4099)","-0.0241(0.1208)","0.1137(0.313)","-0.0479(0.1917)","-8.0011(0.0082)","-1.001(0.0089)","-0.5013(0.0079)","-7.0008(0.0077)","-3.0016(0.0076)","1.0009(0.0083)","1.0008(0.0079)","-0.9991(0.0077)"
"35","reduced","variable","Baseline","0.3357(0.0083)","2249.985(45.8482)","-0.0241(0.1305)","0.1174(0.3332)","-0.044(0.2155)","-0.0528(0.1498)","-0.015(0.1049)","-0.0727(0.183)","-0.0109(0.1141)","-2.9986(0.0165)","1(0.0164)","1(0.0168)","-1.0012(0.0172)"
"36","reduced","variable","Decreased","0.359(0.0124)","509.4608(36.4032)","-0.0226(0.1198)","0.1131(0.3132)","-0.0475(0.1928)","-3.2093(0.0816)","-1.8181(0.3488)","-1.5762(0.1784)","-2.0744(0.134)","-2.9943(0.0178)","0.9955(0.0382)","1.0015(0.0225)","-1.0008(0.0213)"
