"method","accuracy","precision","recall","varSelectionProb","waic"
"covariate","0.968992248062015","0.1","0.992042440318302","0.70330396981697","5905.06153157166"
"constant","0.971576227390181","0.1","0.992042440318302","0.523656310979277","5896.05436933279"
"intercept","0.96640826873385","0.1","0.989389920424403","0.496293468168005","6003.72302935878"
"main","0.971576227390181","0.1","0.992042440318302","0.288497780148372","5893.93068450226"
"fixed-intercov","0.971576227390181","0.1","0.994694960212202","0.713348316976001","5874.16402724439"
"fixed-covariate","0.96640826873385","0.1","0.986737400530504","0.705084499325728","6030.94476579312"
"machine_learning","0.89922480620155","0.8","0.901856763925729","0.496328455279581","8049.76250575614"
